"VAR2","VAR3","SPCD","STATE","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Stump Wood Volume","SP_WD_CV","371","WI",38,13.0789473684211,5.1,33.6,0.81377694840072,21.9613167118819,-0.307730431363033,-6.46905701500787,0.431638224049843,17.2718066793003,0.0395532452240456,0.859944043519108,0.851337212198024
"Stump Wood+Bark Volume","SP_WDBK_CV","371","WI",27,11.3592592592593,5.5,28.1,0.95982606410673,20.8138013423691,-0.162178794709409,3.48008725339901,0.36120705682268,15.3947528373961,0.0377362127620718,0.95574424879923,0.845625795955446
"Total Stem Bark Volume","ST_BK_CV_TOT","371","WI",18,13.5111111111111,5.5,28.1,4.82279113933757,115.150952377119,0.411127688662529,60.9263839404744,2.70707062252113,75.2589632318792,0.205070798092753,4.70490767371552,0.723386040019557
"Total Stem Wood Volume","ST_WD_CV_TOT","371","WI",38,13.0789473684211,5.1,33.6,7.37802235921947,19.9762657886289,3.56054388670664,19.5871646509934,5.41116618005312,23.057106835442,0.425173591473563,8.1043310070904,0.967289526276847
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","371","WI",27,11.3592592592593,5.5,28.1,8.42171253706825,22.2010933397551,1.02254747491593,14.2210709137074,4.80468399719378,20.31844652778,0.418668905804085,8.32730355988919,0.975769097143666
"Merch Stem Bark Volume","ST_BK_CV_MER","541","WI",21,14.5,5.9,25,4.0504809696583,105.950298023983,0.0819660187268345,59.7473446074602,2.80117257442037,82.5426262929888,0.212197930917899,3.95371440007173,0.519623859140864
"Merch Stem Wood Volume","ST_WD_CV_MER","541","WI",28,13.6571428571429,5.9,25,6.92411869556429,17.0329650057507,1.38409320865891,5.36036310170347,4.52029755707814,12.5217266119808,0.369518708026026,6.93879447244739,0.935622100263083
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","541","WI",21,14.5,5.9,25,8.16812878072065,11.9163600182891,1.20720836192496,3.73916454769344,5.55086352991125,10.3328457072194,0.416207091152731,8.0621719517754,0.942513390242801
"Sawlog Bark Volume","ST_BK_CV_SAW","541","WI",15,17.2666666666667,11.5,25,4.54456200061219,54.9204339541525,-0.255054451235396,12.8304786872102,3.13555599125856,40.9250154120484,0.218753898174431,4.39786618320098,0.331028928885862
"Sawlog Wood Volume","ST_WD_CV_SAW","541","WI",16,17.175,11.5,25,10.0721588730958,19.0907121863053,0.86693290856695,4.04685151064037,7.4922927274778,15.1437654899607,0.521012724499909,9.79078306419022,0.862461372476356
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","541","WI",15,17.2666666666667,11.5,25,11.041686956566,17.1786210575192,0.615499115889096,2.65949805844224,8.4155990219255,14.3912676810009,0.576868258735096,10.6850253447839,0.878224830867793
